iid,isbn_raw
151,0060507365
152,0060507403
153,0060507772
154,0060507845
155,0060508302
156,006050918X
157,0060509392
158,0060510323
159,0060511508
160,0060512806
161,0060512822
162,0060513640
163,0060514930
164,0060514949
165,0060514957
166,0060516283
167,0060517611
168,0060517794
169,0060519134
170,0060520507
171,0060529148
172,0060529709
173,0060531231
174,0060532149
175,0060533986
176,0060534044
177,006053429X
178,0060539860
179,0060540753
180,0060542128
181,0060542845
182,0060549270
183,0060557257
184,0060557540
185,0060557818
186,0060558121
187,0060558199
188,0060558865
189,0060559128
190,0060560754
191,0060562080
192,0060562250
193,0060571314
194,0060572965
195,0060577487
196,0060580275
197,0060582553
198,0060652934
199,0060738197
200,0060740450
201,0060801263
202,0060807792
203,0060809248
204,0060809833
205,0060830956
206,0060907002
207,0060909005
208,0060913983
209,0060914653
210,0060915153
211,0060915544
212,006091565X
213,0060916508
214,0060917016
215,0060919655
216,0060919884
217,0060920084
218,0060921056
219,0060921145
220,0060922249
221,0060922532
222,0060923245
223,006092327X
224,0060924799
225,0060924926
226,0060924985
227,0060925000
228,0060925752
229,0060926317
230,0060927216
231,0060927240
232,0060927569
233,0060927860
234,0060928336
235,0060928360
236,0060929510
237,0060929596
238,0060929790
239,0060929871
240,006092988X
241,0060930187
242,0060930535
243,006093090X
244,0060930934
245,0060931221
246,0060931418
247,0060931671
248,0060931809
249,0060931914
250,0060932139
251,0060932171
252,0060932759
253,0060932767
254,0060932813
255,0060934417
256,0060934700
257,0060934719
258,0060934794
259,0060934913
260,0060935464
261,0060936231
262,0060936363
263,006093817X
264,0060938412
265,0060938455
266,0060950536
267,0060951311
268,0060952520
269,0060952970
270,0060953691
271,0060955775
272,0060958014
273,0060958022
274,0060958324
275,0060959037
276,0060959355
277,0060961325
278,0060964049
279,0060968966
280,006096975X
281,0060970790
282,0060971479
283,0060972122
284,0060972459
285,0060972777
286,0060973277
287,0060973323
288,0060973617
289,0060973897
290,0060974486
291,0060974990
292,0060975547
293,0060975849
294,0060976241
295,0060976497
296,0060976624
297,006097673X
298,0060976845
299,0060976977
300,0060977027
301,0060977035
302,0060977264
303,0060977337
304,0060977477
305,0060977493
306,0060977744
307,0060981180
308,0060987049
309,0060987103
310,006098726X
311,0060987324
312,0060987529
313,0060987561
314,006098824X
315,0060988258
316,0060988649
317,006099486X
318,0061000019
319,0061000027
320,0061000035
321,0061000043
322,0061000175
323,0061000280
324,0061000299
325,0061006629
326,0061007145
327,0061007153
328,0061008079
329,0061009059
330,0061009431
331,0061009504
332,0061011738
333,0061012165
334,0061012351
335,0061012513
336,0061013315
337,0061013412
338,0061013420
339,0061013439
340,006101351X
341,0061013706
342,0061014591
343,0061015725
344,0061020397
345,0061020400
346,0061020613
347,0061020621
348,006102063X
349,0061020648
350,0061020656
351,0061020664
352,0061020672
353,0061020680
354,0061020699
355,0061020702
356,0061020710
357,0061020842
358,006103018X
359,0061030244
360,0061030430
361,0061030597
362,0061030635
363,0061030643
364,0061030651
365,006103066X
366,006103083X
367,0061031011
368,0061031070
369,0061031089
370,0061031127
371,0061031321
372,0061031410
373,0061031429
374,0061031445
375,0061031550
376,0061031755
377,0061031844
378,0061031992
379,0061032034
380,0061032093
381,0061032425
382,0061040347
383,0061042005
384,0061042935
385,0061042943
386,0061043494
387,0061043508
388,0061044431
389,006104444X
390,0061044636
391,0061052892
392,0061053104
393,0061053538
394,0061053716
395,0061054143
396,0061054151
397,0061054437
398,0061054887
399,0061054895
400,0061054909
401,0061056774
402,0061056871
403,0061056901
404,006105691X
405,0061056928
406,0061057363
407,0061057649
408,0061057894
409,0061057940
410,0061059056
411,0061059064
412,0061059072
413,0061061433
414,0061073628
415,006108171X
416,0061090808
417,0061090891
418,0061091227
419,0061091316
420,0061091464
421,0061091561
422,006109157X
423,0061091618
424,0061091707
425,006109174X
426,0061091790
427,0061091944
428,0061091995
429,0061092002
430,0061092037
431,0061092045
432,0061092088
433,0061092096
434,0061092177
435,0061092193
436,0061092533
437,0061092606
438,0061092614
439,0061092819
440,0061092827
441,006109286X
442,0061092886
443,0061093084
444,0061093092
445,0061093106
446,0061093327
447,0061093335
448,0061093343
449,0061093491
450,0061093580
451,0061093653
452,0061093890
453,006109398X
454,0061093998
455,0061094110
456,0061094129
457,0061094234
458,0061095540
459,006109594X
460,0061096083
461,0061096105
462,0061096113
463,0061096857
464,0061097101
465,0061097314
466,0061097349
467,0061097632
468,0061097659
469,0061097667
470,0061097853
471,0061097861
472,0061098035
473,0061098361
474,006109868X
475,0061098752
476,0061098795
477,0061099015
478,0061099058
479,0061099155
480,006109918X
481,006109921X
482,0061099325
483,0061099341
484,0061099368
485,0061099481
486,0061099643
487,0061099694
488,0061099708
489,0061099732
490,0061099805
491,0062500260
492,0062501860
493,0062502174
494,0062502182
495,0062505319
496,006250746X
497,0062508113
498,0062509594
499,0062512021
500,006251279X
501,0062515845
502,0062516590
503,0062517864
504,0062548662
505,0062554468
506,0064400204
507,0064400484
508,0064400557
509,0064400565
510,0064400581
511,0064400859
512,0064400964
513,0064400972
514,0064400980
515,0064400999
516,0064401103
517,0064401510
518,0064401707
519,0064401774
520,0064401847
521,0064401871
522,006440188X
523,0064402053
524,0064402754
525,0064402967
526,0064403319
527,0064403688
528,0064404773
529,0064404994
530,0064405001
531,0064405028
532,0064405036
533,0064405044
534,0064405052
535,0064405109
536,0064405176
537,0064405451
538,0064405842
539,006440630X
540,0064406970
541,0064407055
542,0064407667
543,0064407675
544,0064407683
545,0064407691
546,0064408183
547,0064408620
548,0064408639
549,0064408647
550,0064408655
551,0064408663
552,0064409422
553,0064409430
554,0064410129
555,0064410137
556,006441034X
557,0064430170
558,0064430189
559,0064431789
560,0064440508
561,0064471047
562,0064471055
563,0064471063
564,0064471071
565,006447108X
566,0064471098
567,0064471101
568,0064471195
569,0064471837
570,006447187X
571,0064471969
572,0064472264
573,0064472272
574,006447268X
575,0064472779
576,0064472795
577,0064472809
578,006447335X
579,0064473368
580,006447352X
581,0066209773
582,0066211220
583,0066211611
584,0066212855
585,0066214122
586,0066214440
587,0066214769
588,0066238501
589,0066620996
590,0070064601
591,0070212570
592,0091882087
593,0099245027
594,0140008535
595,0140012133
596,0140013997
597,0140018328
598,0140039589
599,0140042210
600,0140042229
601,0140042393
602,0140042407
603,0140042520
604,0140042598
605,0140043128
606,0140043519
607,0140045295
608,0140046569
609,0140049975
610,0140053204
611,0140055770
612,0140061401
613,014006690X
614,0140067477
615,0140067647
616,0140067779
617,0140070206
618,0140071083
619,0140071814
620,0140074317
621,0140075569
622,0140075623
623,0140077022
624,0140086838
625,0140088393
626,0140089225
627,0140092323
628,0140092501
629,0140094385
630,0140097058
631,0140113428
632,014011369X
633,0140119906
634,0140122060
635,014012389X
636,0140124373
637,0140124381
638,0140126562
639,0140131558
640,0140131612
641,0140132708
642,0140133488
643,0140143505
644,0140148590
645,0140150749
646,0140154078
647,0140157379
648,0140157654
649,0140167153
650,0140167188
651,014016930X
652,0140176616
653,014017737X
654,0140177388
655,0140177396
656,0140178406
657,0140178414
658,0140178724
659,0140179836
660,0140185003
661,0140185011
662,0140185216
663,0140185232
664,0140186409
665,0140186425
666,0140186476
667,0140186484
668,0140186522
669,0140186832
670,0140187537
671,014018869X
672,014019536X
673,0140230165
674,0140230270
675,014023313X
676,0140233725
677,0140233903
678,014023828X
679,0140242058
680,0140244816
681,0140244824
682,0140245162
683,0140248927
684,0140250913
685,0140250948
686,0140253602
687,014025448X
688,0140254544
689,0140255125
690,0140257934
691,0140258795
692,0140259112
693,0140262032
694,0140264795
695,0140265686
696,0140266771
697,0140268863
698,0140270590
699,0140274782
700,0140275010
701,0140275363
702,0140277749
703,0140278826
704,014027927X
705,0140279288
706,014028009X
707,0140280243
708,0140280464
709,0140280553
710,0140282033
711,0140282777
712,0140286276
713,0140288503
714,0140293248
715,0140293442
716,0140293450
717,0140296131
718,014029628X
719,0140296298
720,0140296409
721,0140298479
722,0140309578
723,0140314601
724,0140318909
725,0140320970
726,0140328696
727,014034019X
728,0140340203
729,014034294X
730,0140345353
731,0140346406
732,0140346414
733,0140348107
734,014034893X
735,014034991X
736,0140361219
737,0140366784
738,0140374248
739,0140378278
740,014038572X
741,0140386335
742,0140386645
743,0140390030
744,0140390197
745,0140390227
746,0140390316
747,0140390448
748,0140390464
749,0140390693
750,0140390839
751,0140430016
752,0140430032
753,0140430059
754,0140430113
755,0140430164
756,0140430725
757,0140430962
758,0140431357
759,014043223X
760,0140433627
761,0140434003
762,0140434011
763,0140434186
764,0140434259
765,0140440038
766,0140440046
767,0140440224
768,0140440410
769,014044100X
770,0140445560
771,014044694X
772,0140449124
773,014045022X
774,0140481346
775,0140481389
776,0140620109
777,0140620222
778,0140620427
779,0140620435
780,014062063X
781,0140620664
782,0140620753
783,0140620842
784,0140620869
785,0140622144
786,0140622179
787,014100018X
788,0141000198
789,0141001682
790,0141001771
791,0141001828
792,0141002077
793,0141002166
794,014100374X
795,0141007338
796,0141301058
797,0141301066
798,0141301074
799,0141301104
800,0141301120
801,0141301147
802,0141301155
803,0141304340
804,014130636X
805,014131088X
806,0141312424
807,0142000108
808,0142000205
809,0142000213
810,0142000221
811,014200023X
812,0142000345
813,0142000361
814,0142000663
815,0142000892
816,0142001325
817,0142001430
818,0142001619
819,0142001740
820,0142001805
821,0142001821
822,0142002267
823,0142002798
824,0142003697
825,0142003727
826,0142004030
827,0142004235
828,0142004278
829,0142301515
830,0143035002
831,0146000552
832,0151001006
833,0151001812
834,0151002290
835,0151002517
836,0151002630
837,0151003076
838,0151004374
839,0151005346
840,0151006040
841,0151006261
842,0151006725
843,0151006903
844,015100692X
845,0151008116
846,0151446474
847,0151731527
848,0151962960
849,0152001018
850,0152017682
851,015201800X
852,0152018018
853,0152023984
854,0152050167
855,015216250X
856,0152162577
857,0152567089
858,0152802177
859,0156001314
860,0156004011
861,0156004801
862,0156005204
863,0156005891
864,0156006219
865,0156006391
866,0156006529
867,0156006847
868,015600710X
869,0156007479
870,0156007754
871,0156007819
872,0156010593
873,0156010887
874,0156011042
875,0156011433
876,0156012197
877,0156013908
878,0156013924
879,0156027321
880,0156028352
881,0156028778
882,0156029065
883,015602943X
884,0156029987
885,0156030209
886,0156106809
887,015626224X
888,0156329301
889,015640057X
890,0156439611
891,015644450X
892,0156453800
893,0156628708
894,015668568X
895,015670160X
896,0156787334
897,0156904365
898,015696158X
899,0156997789
900,017443460X
901,0192815326
902,0192815970
903,0192815989
904,0192823507
905,019282760X
906,0192833553
907,0192860925
908,0192862189
909,0198117477
910,0201489376
911,0201489899
912,020530902X
913,0226500578
914,0252006860
915,0261103288
916,0285636464
917,0304345350
918,030681188X
919,0306812274
920,0307001164
921,0307010368
922,030711886X
923,0307119750
924,0307301451
925,0310205719
926,0310209307
927,0310213274
928,0310218039
929,0312022824
930,0312042779
931,0312050631
932,031205436X
933,031208188X
934,0312099045
935,0312099266
936,0312099436
937,0312113420
938,0312119313
939,0312130279
940,0312134517
941,0312140908
942,0312140940
943,0312144075
944,0312146310
945,0312147015
946,0312150601
947,0312169787
948,0312171838
949,0312185863
950,0312186886
951,0312187106
952,0312187459
953,0312187688
954,0312194390
955,0312195516
956,0312199430
957,0312201656
958,0312202318
959,0312203039
960,0312203594
961,0312205406
962,0312241224
963,0312243022
964,0312243359
965,0312244266
966,0312252617
967,0312252943
968,0312253435
969,0312254997
970,0312255012
971,0312261594
972,0312261780
973,0312263120
974,0312263996
975,0312264372
976,0312265840
977,0312265859
978,0312265867
979,0312267460
980,0312272057
981,0312272243
982,0312274920
983,0312275420
984,0312276885
985,0312278586
986,0312278675
987,0312281250
988,0312282702
989,0312282990
990,031228327X
991,0312283709
992,0312284683
993,0312287364
994,0312288115
995,0312289197
996,0312289510
997,0312289723
998,0312289871
999,0312291450
1000,0312291639
1001,0312301995
1002,0312303467
1003,0312305060
1004,0312306326
1005,0312311338
1006,0312313810
1007,0312316089
1008,031231616X
1009,0312316933
1010,0312319142
1011,0312420323
1012,0312420366
1013,0312421001
1014,0312421036
1015,0312421265
1016,0312421273
1017,0312421435
1018,0312421702
1019,0312421818
1020,0312422156
1021,031242227X
1022,031242258X
1023,0312423772
1024,0312423799
1025,0312854285
1026,0312857675
1027,0312862180
1028,031286504X
1029,0312867794
1030,0312867875
1031,0312868332
1032,0312871996
1033,0312872399
1034,0312872402
1035,0312873115
1036,0312875681
1037,0312876491
1038,0312876513
1039,0312890044
1040,0312901437
1041,0312915799
1042,0312924585
1043,0312924801
1044,0312925581
1045,0312925883
1046,0312926286
1047,0312926456
1048,0312927746
1049,0312929587
1050,0312950489
1051,0312950586
1052,0312951426
1053,0312952716
1054,0312952813
1055,0312953615
1056,0312954468
1057,0312955006
1058,0312956126
1059,0312956207
1060,0312957572
1061,0312958129
1062,0312959974
1063,0312960344
1064,0312961324
1065,0312962444
1066,0312962452
1067,0312963009
1068,0312963297
1069,0312965338
1070,0312965788
1071,0312966091
1072,0312966202
1073,0312966555
1074,0312966806
1075,0312966970
1076,0312969198
1077,0312969252
1078,0312970234
1079,0312970617
1080,0312971125
1081,0312971346
1082,0312971362
1083,0312971397
1084,0312973055
1085,0312974256
1086,0312975228
1087,0312976275
1088,0312977026
1089,0312977360
1090,0312977409
1091,0312977689
1092,0312978332
1093,0312978359
1094,0312978367
1095,0312978383
1096,0312978448
1097,0312979096
1098,0312979398
1099,0312979479
1100,0312979517
1101,0312979533
1102,0312979886
1103,0312979975
1104,0312979983
1105,0312980140
1106,0312980159
1107,0312980388
1108,0312981589
1109,0312981848
1110,031298250X
1111,0312982518
1112,0312982615
1113,0312982917
1114,0312983131
1115,0312983212
1116,0312983271
1117,031298328X
1118,0312983298
1119,0312983301
1120,0312983336
1121,0312983387
1122,0312983433
1123,0312983603
1124,0312983654
1125,0312983743
1126,0312983751
1127,0312983824
1128,0312983832
1129,0312983867
1130,0312984820
1131,0312984839
1132,0312985207
1133,0312986319
1134,0312986343
1135,0312986734
1136,0312986769
1137,0312989385
1138,0312989393
1139,0312990456
1140,0312991460
1141,0312992416
1142,0312993536
1143,0312993560
1144,0312995423
1145,0316037443
1146,0316037451
1147,0316073016
1148,0316089699
1149,0316096199
1150,0316103098
1151,0316107018
1152,0316107093
1153,0316107107
1154,0316107255
1155,0316107298
1156,0316107352
1157,0316107387
1158,0316107417
1159,0316107549
1160,0316108677
1161,0316143464
1162,0316150363
1163,0316150460
1164,0316152196
1165,0316153915
1166,0316153990
1167,0316154059
1168,0316154067
1169,0316154075
1170,0316154601
1171,0316155306
1172,0316158720
1173,0316168688
1174,0316168815
1175,0316171565
1176,0316182540
1177,0316198951
1178,0316235024
1179,0316284955
1180,0316286850
1181,0316287555
1182,0316290238
1183,0316291161
1184,0316313068
1185,0316316962
1186,0316346624
1187,0316358460
1188,0316540838
1189,0316548189
1190,0316569321
1191,0316570826
1192,0316578398
1193,0316601950
1194,0316602051
1195,0316602906
1196,0316603287
1197,0316603570
1198,0316604917
1199,0316666009
1200,0316666343
1201,0316678104
1202,0316690619
1203,0316693006
1204,0316693200
1205,0316693235
1206,0316693251
1207,0316693286
1208,0316693294
1209,0316693324
1210,0316693642
1211,0316693707
1212,0316693715
1213,0316710571
1214,0316734837
1215,0316735027
1216,0316735698
1217,0316735736
1218,0316748641
1219,0316769177
1220,0316769487
1221,0316769495
1222,0316769509
1223,0316776963
1224,0316777722
1225,0316777730
1226,0316778508
1227,0316779059
1228,0316779237
1229,0316779423
1230,0316779490
1231,0316779989
1232,0316780375
1233,0316780812
1234,0316781010
1235,0316781142
1236,0316781266
1237,0316782262
1238,0316782505
1239,0316785261
1240,0316785644
1241,0316788228
1242,0316789089
1243,0316789844
1244,0316789976
1245,0316812471
1246,0316815837
1247,0316899984
1248,0316899992
1249,0316910333
1250,0316911488
1251,0316926086
1252,0316926345
1253,0316929190
1254,0316969443
1255,0316969680
1256,0330253603
1257,0330331973
1258,0330332775
1259,0330334026
1260,0330335278
1261,0330347772
1262,0330352253
1263,0330375253
1264,0330392611
1265,0330482076
1266,0330487612
1267,0340750626
1268,0340786051
1269,0345253736
1270,0345257189
1271,0345257553
1272,0345260791
1273,0345272579
1274,0345272587
1275,0345272609
1276,0345273303
1277,0345278313
1278,0345282159
1279,0345283929
1280,0345284267
1281,0345285549
1282,0345285859
1283,0345285980
1284,0345295684
1285,0345296044
1286,0345296052
1287,0345296060
1288,0345296087
1289,0345296575
1290,0345297709
1291,0345298349
1292,034529873X
1293,0345300203
1294,0345300742
1295,0345300785
1296,0345300793
1297,0345300807
1298,0345301110
1299,0345301870
1300,0345303067
1301,0345304225
1302,034530456X
1303,0345305183
1304,0345305507
1305,0345307615
1306,0345308239
1307,0345308980
1308,034530988X
1309,0345310020
1310,0345311078
1311,0345311396
1312,0345311485
1313,0345311809
1314,034531221X
1315,0345313097
1316,0345313151
1317,0345313755
1318,0345313860
1319,0345314220
1320,0345314255
1321,0345314484
1322,0345315642
1323,0345315715
1324,0345316002
1325,0345316509
1326,0345316770
1327,0345316991
1328,0345317580
1329,0345318854
1330,0345318862
1331,0345320115
1332,0345320239
1333,0345321200
1334,0345321383
1335,0345322215
1336,0345322231
1337,0345323440
1338,0345323750
1339,034532532X
1340,0345325818
1341,0345326342
1342,0345326490
1343,0345327861
1344,0345329821
1345,0345330145
1346,0345331354
1347,0345333756
1348,0345333926
1349,0345334019
1350,0345334302
1351,0345334310
1352,0345334531
1353,0345335082
1354,0345335287
1355,0345335406
1356,0345335457
1357,0345335465
1358,0345335511
1359,0345335651
1360,0345335708
1361,0345336038
1362,0345336615
1363,0345337662
1364,0345338545
1365,0345338588
1366,0345338715
1367,0345339495
1368,0345339681
1369,0345339703
1370,0345339711
1371,0345339738
1372,0345339967
1373,0345340418
1374,0345340426
1375,0345341678
1376,0345342569
1377,0345342968
1378,0345344464
1379,0345345053
1380,0345346491
1381,0345346971
1382,0345347226
1383,0345347536
1384,0345347951
1385,0345348036
1386,0345348109
1387,0345348176
1388,0345348656
1389,0345348664
1390,0345348672
1391,0345349342
1392,0345350472
1393,0345350480
1394,0345350499
1395,0345350588
1396,0345350685
1397,0345350804
1398,0345351525
1399,0345351878
1400,0345351959
1401,0345352459
1402,0345352467
1403,0345352661
1404,0345353145
1405,0345354249
1406,0345354613
1407,0345354621
1408,0345354648
1409,0345354915
1410,0345354923
1411,0345354931
1412,0345356365
1413,0345356535
1414,0345356578
1415,0345357116
1416,0345358791
1417,0345358805
1418,0345359321
1419,0345360001
1420,0345360338
1421,0345361326
1422,0345361571
1423,0345361792
1424,034536208X
1425,0345362721
1426,0345362861
1427,0345363310
1428,0345366239
1429,0345366638
1430,034536676X
1431,0345367421
1432,034536743X
1433,0345367650
1434,0345367693
1435,0345367898
1436,0345368436
1437,0345368754
1438,0345368924
1439,0345368932
1440,0345368940
1441,0345368959
1442,0345368991
1443,0345369068
1444,0345369076
1445,0345369335
1446,0345369343
1447,0345369351
1448,0345369947
1449,0345370740
1450,0345370775
1451,0345370805
1452,0345371984
1453,0345372050
1454,0345373529
1455,0345374568
1456,034537472X
1457,0345375211
1458,034537522X
1459,034537536X
1460,0345375580
1461,0345375599
1462,0345376579
1463,0345377443
1464,0345377591
1465,0345377648
1466,0345377702
1467,0345378482
1468,0345378490
1469,0345379144
1470,0345379330
1471,0345380193
1472,0345380371
1473,0345381432
1474,0345381645
1475,034538184X
1476,0345382315
1477,0345382323
1478,0345382447
1479,0345382846
1480,0345383230
1481,0345383273
1482,0345384202
1483,0345384210
1484,034538430X
1485,0345384350
1486,0345384369
1487,0345384377
1488,0345384466
1489,0345384563
1490,0345384687
1491,034538475X
1492,0345384911
1493,0345386108
1494,0345386132
1495,0345386744
1496,0345386825
1497,0345387007
1498,0345387023
1499,0345387554
1500,0345387651
1501,0345388216
1502,0345388232
1503,0345388666
1504,0345388771
1505,0345389247
1506,0345389417
1507,0345389964
1508,0345390407
1509,0345390458
1510,034539092X
1511,0345391055
1512,0345391373
1513,0345391802
1514,0345391810
1515,0345391829
1516,0345391837
1517,0345392825
1518,0345394267
1519,0345395069
1520,0345396553
1521,034539657X
1522,0345396812
1523,0345396936
1524,0345397819
1525,034540047X
1526,0345401964
1527,0345402308
1528,0345402871
1529,034540288X
1530,0345403339
1531,0345403959
1532,0345404114
1533,0345404319
1534,0345404475
1535,0345404769
1536,0345404777
1537,0345404785
1538,0345404793
1539,034540727X
1540,034540761X
1541,0345409272
1542,0345409329
1543,0345409469
1544,0345409671
1545,0345409876
1546,0345409973
1547,0345410017
1548,034541005X
1549,0345411471
1550,034541215X
1551,0345412214
1552,0345412923
1553,0345413350
1554,0345413369
1555,0345413377
1556,0345413865
1557,0345413873
1558,0345413881
1559,034541389X
1560,0345413903
1561,0345415000
1562,0345416260
1563,0345416880
1564,0345417062
1565,0345417623
1566,0345417976
1567,0345418018
1568,0345418263
1569,0345418778
1570,0345418794
1571,0345418824
1572,0345419995
1573,0345420438
1574,0345420748
1575,0345421620
1576,0345422317
1577,0345422384
1578,0345422392
1579,0345422406
1580,0345422473
1581,0345422554
1582,0345422589
1583,0345422783
1584,0345422805
1585,0345423038
1586,0345423097
1587,0345423135
1588,0345423291
1589,0345423399
1590,0345423402
1591,0345423429
1592,0345423496
1593,0345423615
1594,0345423631
1595,0345424603
1596,0345424646
1597,0345424719
1598,0345425308
1599,0345425707
1600,0345425782
1601,0345426037
1602,0345426274
1603,034542705X
1604,0345427637
1605,0345427653
1606,0345428307
1607,0345428544
1608,0345428692
1609,034543014X
1610,0345430573
1611,0345430581
1612,034543076X
1613,0345431057
1614,0345432401
1615,0345432479
1616,0345432991
1617,0345433017
1618,0345433165
1619,0345433262
1620,0345433300
1621,0345433319
1622,0345433491
1623,0345434110
1624,0345434250
1625,0345434471
1626,034543448X
1627,0345434498
1628,0345434676
1629,0345434684
1630,0345434692
1631,0345434773
1632,034543479X
1633,0345434803
1634,0345434870
1635,0345435028
1636,0345435168
1637,0345435249
1638,0345435273
1639,0345435338
1640,0345435648
1641,0345435729
1642,0345435796
1643,0345436911
1644,034543739X
1645,0345438329
1646,0345438825
1647,0345439104
1648,0345439112
1649,0345440021
1650,0345440048
1651,0345440056
1652,0345440064
1653,0345440080
1654,0345440137
1655,0345440145
1656,0345440404
1657,0345440765
1658,0345440781
1659,0345441036
1660,0345441133
1661,0345441265
1662,0345441788
1663,0345442768
1664,0345442822
1665,0345443020
1666,0345443128
1667,0345443284
1668,034544356X
1669,0345443683
1670,0345444884
1671,0345444892
1672,0345445724
1673,0345445732
1674,0345445848
1675,0345445856
1676,0345446666
1677,0345446860
1678,0345447409
1679,0345447832
1680,0345447840
1681,0345447867
1682,0345447980
1683,0345449347
1684,0345450175
1685,0345450698
1686,0345450728
1687,0345450884
1688,0345450892
1689,0345450914
1690,034545104X
1691,0345452003
1692,0345452534
1693,0345452550
1694,0345452569
1695,0345452577
1696,0345452593
1697,0345452704
1698,0345453387
1699,0345453409
1700,0345453417
1701,0345453425
1702,0345453549
1703,0345453743
1704,0345453816
1705,0345455207
1706,0345456939
1707,0345457641
1708,0345458303
1709,0345458915
1710,0345459202
1711,0345459407
1712,0345460359
1713,0345460952
1714,0345463153
1715,0345463331
1716,0345463404
1717,0345465083
1718,0345466632
1719,0345468694
1720,0345469674
1721,0373078110
1722,0373078234
1723,0373078358
1724,0373079613
1725,0373115431
1726,0373153309
1727,0373218036
1728,0373218095
1729,0373218125
1730,0373218192
1731,0373218257
1732,0373218397
1733,0373218400
1734,0373218419
1735,0373218427
1736,0373218435
1737,0373218443
1738,0373218486
1739,0373218540
1740,0373218958
1741,0373218966
1742,0373218974
1743,037322592X
1744,0373225962
1745,0373226055
1746,0373226063
1747,0373226144
1748,0373226314
1749,037322687X
1750,0373226918
1751,0373239963
1752,0373240007
1753,0373240228
1754,0373240880
1755,0373242328
1756,0373243286
1757,0373243790
1758,0373244487
1759,0373245319
1760,0373250118
1761,0373250126
1762,0373250134
1763,0373250142
1764,0373250150
1765,0373250177
1766,0373250185
1767,0373250193
1768,0373250207
1769,0373250215
1770,0373250223
1771,037325024X
1772,0373250258
1773,0373250266
1774,0373250274
1775,0373250282
1776,0373250290
1777,0373250312
1778,0373250347
1779,0373250363
1780,0373250371
1781,037325041X
1782,0373250428
1783,0373250452
1784,0373250479
1785,0373250495
1786,0373250533
1787,0373250541
1788,0373270917
1789,0373270976
1790,0373272847
1791,0373285000
1792,0373285019
1793,0373285043
1794,0373441762
1795,0373483503
1796,0373483546
1797,0373483554
1798,0373483694
1799,0373483880
1800,0373483899
1801,0373483902
1802,037348397X
1803,0373484003
1804,0373484100
1805,0373484224
1806,0373484232
1807,0373484410
1808,0373484429
1809,0373484836
1810,0373484887
1811,0373484895
1812,0373484909
1813,0373691300
1814,0373707118
1815,0373709366
1816,0373710615
1817,0373710984
1818,0373710992
1819,0373711026
1820,0373711034
1821,0373711646
1822,0373790147
1823,0373790198
1824,0373790457
1825,0373790473
1826,0373790481
1827,0373790899
1828,0373790945
1829,0373790961
1830,0373802021
1831,0373825013
1832,0373825021
1833,037382503X
1834,0373825048
1835,0373834284
1836,0373834357
1837,0373834365
1838,0373834446
1839,0373834691
1840,0373835124
1841,0373835280
1842,0373835396
1843,037383568X
1844,0373835876
1845,0373835922
1846,037383599X
1847,0374100128
1848,0374117349
1849,0374121230
1850,0374129983
1851,0374148600
1852,0374172897
1853,0374184232
1854,0374190666
1855,0374199698
1856,0374266425
1857,0374266441
1858,0374270325
1859,0374281602
1860,0374332657
1861,0374480095
1862,0374522928
1863,0374525641
1864,0374527229
1865,0375400117
1866,0375400516
1867,0375401091
1868,0375401156
1869,0375401598
1870,0375401601
1871,037540256X
